stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
068,068.jpg,the_birth_of_idol_0215.jpg,surrealism/the_birth_of_idol_0215.jpg,surrealism,Ein Zimmer mit weißem Bettpfosten öffnet sich zu stürmischem Meer und dunklem Himmel. Innenraum und Außenlandschaft treffen hart aufeinander.,Ein Raum mit weißer senkrechter Form öffnet sich zu dunklem Wasser und Himmel. Innenraum und Außenbereich treffen hart aufeinander.,"Ein heller Innenraum öffnet sich zu ruhigem Wasser und hellem Himmel. Der Bettpfosten liegt waagerecht, und der harte Übergang fehlt.",A room with a white bedpost opens toward stormy sea and dark sky. Interior and outside landscape meet sharply.,A room with a white vertical form opens toward dark water and sky. Interior and outside area meet sharply.,"A bright interior opens toward calm water and light sky. The bedpost lies horizontally, and the sharp transition is missing.",image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
069,069.jpg,the_carbide_lamp_0072.jpg,surrealism/the_carbide_lamp_0072.jpg,surrealism,"Ein Stillleben zeigt eine Lampe, einen Stuhlbogen und kantige Flächen auf gelbem Grund. Schwarze Linien teilen den Raum stark.",Ein Stillleben zeigt dunkle Gegenstände und kantige Flächen auf gelbem Grund. Schwarze Linien teilen den Raum stark.,Ein Stillleben mit geraden Flaschen steht auf blauem Grund. Der große Bogen und die gelben kantigen Flächen sind kaum sichtbar.,"A still life shows a lamp, a chair arch, and angular areas on yellow ground. Black lines divide the room strongly.",A still life shows dark objects and angular areas on yellow ground. Black lines divide the room strongly.,A still life with straight bottles stands on blue ground. The large arch and yellow angular areas are barely visible.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
070,070.jpg,the_conqueror_0217.jpg,surrealism/the_conqueror_0217.jpg,surrealism,Eine Figur mit holzartigem Kopf steht vor Bergen und dunklem Himmel. Ein grüner Ast und rote Fläche teilen den Hintergrund.,Eine figurenartige Form mit hellem rechteckigem Kopf steht vor Bergen und dunklem Himmel. Grüne und rote Bereiche teilen den Hintergrund.,"Eine Figur mit rundem dunklem Kopf steht vor flachem hellem Himmel. Berge, grüner Ast und rote Fläche sind nur klein am Rand.",A figure with a wood-like head stands before mountains and dark sky. A green branch and red area divide the background.,A figure-like form with a light rectangular head stands before mountains and dark sky. Green and red areas divide the background.,"A figure with a round dark head stands before a flat light sky. Mountains, green branch, and red area are only small at the edge.",image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
071,071.jpg,the_sculpture_0156.jpg,surrealism/the_sculpture_0156.jpg,surrealism,"Eine stehende Frau und eine kleinere Büste stehen vor hellem Balkonmuster. Orange Kleidung, rote Fläche und helle Figuren sind klar getrennt.","Eine stehende Figur und eine kleinere helle Form stehen vor einem Balkonmuster. Orange, rote und helle Flächen sind klar getrennt.",Eine einzelne helle Frau steht ohne kleinere Büste vor dunklem Vorhang. Balkonmuster und rote Fläche fehlen fast vollständig.,"A standing woman and a smaller bust stand before a light balcony pattern. Orange clothing, red area, and light figures are clearly separated.","A standing figure and a smaller light form stand before a balcony pattern. Orange, red, and light areas are clearly separated.",A single light woman stands without a smaller bust before a dark curtain. Balcony pattern and red area are almost completely absent.,image_type=surrealism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
072,072.jpg,christ_in_the_sepulchre_0090.jpg,symbolism/christ_in_the_sepulchre_0090.jpg,symbolism,"Eine helle geisterhafte Figur sitzt in einem dunklen Raum. Weißer Körper, leuchtende Mitte und dunkle Dreiecksform bilden starke Kontraste.","Eine helle figurenartige Form sitzt in einem dunklen Raum. Weißer Körper, helle Mitte und dunkle Form bilden starke Kontraste.",Eine helle Figur steht aufrecht in einem offenen hellen Raum. Die dunkle Dreiecksform fehlt und die leuchtende Mitte liegt seitlich.,"A light ghostly figure sits in a dark room. White body, glowing center, and dark triangular form create strong contrasts.","A light figure-like form sits in a dark room. White body, light center, and dark form create strong contrasts.",A light figure stands upright in an open bright room. The dark triangular form is missing and the glowing center lies to the side.,image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
073,073.jpg,death_of_sappho_0222.jpg,symbolism/death_of_sappho_0222.jpg,symbolism,"Eine dunkle Felslandschaft mit Wasserfall und hellem Vogel liegt unter schwerem Himmel. Felsen, Wasser und Himmel sind dramatisch getrennt.","Eine dunkle Landschaft mit heller Wasserform und kleinem hellen Tier liegt unter schwerem Himmel. Felsen, Wasser und Himmel sind getrennt.",Eine helle Felslandschaft mit ruhigem Wasser liegt unter klarem Himmel. Wasserfall und Vogel sind klein und nicht zentral betont.,"A dark rocky landscape with waterfall and light bird lies under a heavy sky. Rocks, water, and sky are dramatically separated.","A dark landscape with light water form and small light animal lies under a heavy sky. Rocks, water, and sky are separated.",A bright rocky landscape with calm water lies under a clear sky. Waterfall and bird are small and not centrally emphasized.,image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
074,074.jpg,evacuation_of_an_island_0230.jpg,symbolism/evacuation_of_an_island_0230.jpg,symbolism,Schwarze und graue Pinselzüge laufen quer über eine helle Fläche. Die Komposition wirkt wie eine abstrakte Landschaft aus Linien.,Dunkle und graue Pinselzüge laufen quer über eine helle Fläche. Die Komposition wirkt wie eine offene Landschaft aus Linien.,Dunkle Pinselzüge laufen senkrecht über eine warme gelbe Fläche. Die Linien bilden ein dichtes Muster statt einer offenen Querbewegung.,Black and gray brushstrokes run horizontally across a light surface. The composition looks like an abstract landscape made of lines.,Dark and gray brushstrokes run horizontally across a light surface. The composition looks like an open landscape made of lines.,Dark brushstrokes run vertically across a warm yellow surface. The lines form a dense pattern rather than an open horizontal movement.,image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
075,075.jpg,head_of_old_woman_from_antwerp_0263.jpg,symbolism/head_of_old_woman_from_antwerp_0263.jpg,symbolism,"Eine alte Frau mit Kopftuch sitzt in einem dunklen Innenraum. Gesicht, Tuch und helle Schürze heben sich vom Hintergrund ab.","Eine ältere sitzende Figur mit Kopfbedeckung befindet sich in einem dunklen Innenraum. Gesicht, Tuch und helle Fläche heben sich ab.","Eine ältere Frau steht hell beleuchtet vor einem offenen Fenster. Kopftuch und Schürze sind nur schwach sichtbar, der Innenraum wirkt kaum dunkel.","An old woman with headscarf sits in a dark interior. Face, scarf, and light apron stand out from the background.","An older seated figure with head covering is in a dark interior. Face, scarf, and light area stand out.","An older woman stands brightly lit before an open window. Headscarf and apron are only weakly visible, and the interior hardly looks dark.",image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
076,076.jpg,illustration_to_milton_s_comus_0060.jpg,symbolism/illustration_to_milton_s_comus_0060.jpg,symbolism,"Zwei helle Figuren stehen auf einem Podest, daneben liegen Pflanzen oder Körperformen. Der helle Hintergrund und die langen Körper trennen die Szene.","Zwei helle figurenartige Formen stehen auf einem Podest, daneben liegen kleinere Formen. Heller Hintergrund und lange Körper trennen die Szene.",Drei kurze helle Figuren sitzen auf einem niedrigen dunklen Podest. Der Hintergrund ist unruhig und die langen Körperformen fehlen.,"Two light figures stand on a pedestal, with plants or body forms beside them. The light background and long bodies separate the scene.","Two light figure-like forms stand on a pedestal, with smaller forms beside them. Light background and long bodies separate the scene.",Three short light figures sit on a low dark pedestal. The background is restless and the long body forms are missing.,image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
077,077.jpg,los_entering_the_grave_0066.jpg,symbolism/los_entering_the_grave_0066.jpg,symbolism,"Eine dunkle Figur mit langem Gewand steht in einem bogenförmigen Raum. Hände, Kopf und runde Form liegen nahe beieinander.","Eine dunkle figurenartige Form steht in einem bogenförmigen Raum. Hände, Kopf und runde Form liegen nahe beieinander.","Eine helle Figur steht in einem offenen eckigen Raum. Gewand, Hände und runde Form liegen weit voneinander getrennt.","A dark figure with a long robe stands in an arch-shaped room. Hands, head, and round form lie close together.","A dark figure-like form stands in an arch-shaped room. Hands, head, and round form lie close together.","A light figure stands in an open angular room. Robe, hands, and round form lie far apart.",image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
078,078.jpg,ruins_in_the_moonlit_landscape_0117.jpg,symbolism/ruins_in_the_moonlit_landscape_0117.jpg,symbolism,"Eine Ruine steht hell beleuchtet in einer dunklen Landschaft. Gebäude, Wolken und kleiner Reiter bilden räumliche Tiefe.","Eine helle Gebäudeform steht in einer dunklen Landschaft. Wolken, Boden und kleine Figur bilden räumliche Tiefe.","Eine dunkle Ruine liegt flach im Vordergrund unter hellem Himmel. Wolken und kleiner Reiter fehlen fast, und räumliche Tiefe ist schwach.","A ruin stands brightly lit in a dark landscape. Building, clouds, and small rider create spatial depth.","A light building form stands in a dark landscape. Clouds, ground, and small figure create spatial depth.","A dark ruin lies flat in the foreground under a light sky. Clouds and small rider are almost absent, and spatial depth is weak.",image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
079,079.jpg,the_balloon_0268.jpg,symbolism/the_balloon_0268.jpg,symbolism,"Eine dunkle stehende Frau hebt einen Arm in einer orangefarbenen Landschaft. Figur, Horizont und kleiner Ballon sind klar getrennt.","Eine dunkle stehende Figur hebt einen Arm in einer orangefarbenen Landschaft. Figur, Horizont und kleine runde Form sind klar getrennt.",Eine stehende Frau senkt beide Arme in einer kühlen blauen Landschaft. Horizont und kleiner Ballon sind kaum erkennbar.,"A dark standing woman raises one arm in an orange landscape. Figure, horizon, and small balloon are clearly separated.","A dark standing figure raises one arm in an orange landscape. Figure, horizon, and small round form are clearly separated.",A standing woman lowers both arms in a cool blue landscape. Horizon and small balloon are barely recognizable.,image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
080,080.jpg,the_penitent_mary_magdalene_0262.jpg,symbolism/the_penitent_mary_magdalene_0262.jpg,symbolism,"Eine Frau mit lockigem Haar stützt den Kopf auf die Hand. Gesicht, Arm und runde Form unten liegen in weichem Licht.","Eine helle kopfähnliche Figur stützt sich auf eine Hand. Gesicht, Arm und runde Form unten liegen in weichem Licht.",Eine Frau mit glattem Haar schaut frontal ohne Handstütze nach vorne. Arm und runde Form unten liegen weit außerhalb der Bildmitte.,"A woman with curly hair supports her head on her hand. Face, arm, and round form below lie in soft light.","A light head-like figure supports itself on a hand. Face, arm, and round form below lie in soft light.",A woman with straight hair looks frontally forward without supporting her head on her hand. Arm and round form below lie far outside the image center.,image_type=symbolism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
